Provinces,ID,Year,Interprovincial exports of total products,International exports of total products
Newfoundland and Labrador,1,2007,"8,718.00","11,966.70"
Newfoundland and Labrador,1,2008,"9,087.00","15,114.30"
Newfoundland and Labrador,1,2009,"5,553.70","9,253.00"
Newfoundland and Labrador,1,2010,"7,363.00","10,748.10"
Newfoundland and Labrador,1,2011,"8,804.50","13,345.40"
Newfoundland and Labrador,1,2012,"9,671.30","10,419.40"
Newfoundland and Labrador,1,2013,"7,770.00","13,614.80"
Newfoundland and Labrador,1,2014,"6,580.90","12,364.50"
Newfoundland and Labrador,1,2015,"4,978.30","8,900.00"
Newfoundland and Labrador,1,2016,"4,627.50","9,238.20"
Newfoundland and Labrador,1,2017,"4,903.90","11,425.30"
Newfoundland and Labrador,1,2018,"4,377.40","15,227.20"
Newfoundland and Labrador,1,2019,"4,288.70","16,402.70"
Newfoundland and Labrador,1,2020,"2,721.50","12,519.30"
Prince Edward Island,2,2007,"1,133.00","1,072.40"
Prince Edward Island,2,2008,"1,165.00","1,095.50"
Prince Edward Island,2,2009,"1,247.50",988.2
Prince Edward Island,2,2010,"1,326.90",929.4
Prince Edward Island,2,2011,"1,393.40",989.3
Prince Edward Island,2,2012,"1,495.00",925.4
Prince Edward Island,2,2013,"1,612.60","1,000.10"
Prince Edward Island,2,2014,"1,555.20","1,161.00"
Prince Edward Island,2,2015,"1,623.10","1,354.00"
Prince Edward Island,2,2016,"1,666.40","1,399.40"
Prince Edward Island,2,2017,"1,789.10","1,463.20"
Prince Edward Island,2,2018,"1,779.70","1,542.10"
Prince Edward Island,2,2019,"1,827.90","1,625.40"
Prince Edward Island,2,2020,"1,658.90","1,573.00"
Nova Scotia,3,2007,"7,612.00","6,986.50"
Nova Scotia,3,2008,"8,139.00","7,490.90"
Nova Scotia,3,2009,"7,342.10","5,890.00"
Nova Scotia,3,2010,"7,648.90","6,374.60"
Nova Scotia,3,2011,"8,142.20","6,750.50"
Nova Scotia,3,2012,"8,042.60","6,651.80"
Nova Scotia,3,2013,"8,508.30","6,243.70"
Nova Scotia,3,2014,"7,784.60","6,083.10"
Nova Scotia,3,2015,"7,796.60","6,486.30"
Nova Scotia,3,2016,"7,690.70","6,555.00"
Nova Scotia,3,2017,"8,056.10","6,870.60"
Nova Scotia,3,2018,"8,132.10","7,318.10"
Nova Scotia,3,2019,"8,295.30","8,326.50"
Nova Scotia,3,2020,"7,524.40","7,086.70"
New Brunswick,4,2007,"9,869.00","12,038.60"
New Brunswick,4,2008,"10,155.00","13,831.60"
New Brunswick,4,2009,"9,515.70","10,755.20"
New Brunswick,4,2010,"10,479.50","12,210.50"
New Brunswick,4,2011,"12,082.30","13,503.70"
New Brunswick,4,2012,"11,244.90","14,262.90"
