Provinces,ID,Year,Interprovincial exports of total products,International exports of total products,Panel_ID
Newfoundland and Labrador,1.0,2007,8718.0,11966.7,1.0_2007
Newfoundland and Labrador,1.0,2008,9087.0,15114.3,1.0_2008
Newfoundland and Labrador,1.0,2009,5553.7,9253.0,1.0_2009
Newfoundland and Labrador,1.0,2010,7363.0,10748.1,1.0_2010
Newfoundland and Labrador,1.0,2011,8804.5,13345.4,1.0_2011
Newfoundland and Labrador,1.0,2012,9671.3,10419.4,1.0_2012
Newfoundland and Labrador,1.0,2013,7770.0,13614.8,1.0_2013
Newfoundland and Labrador,1.0,2014,6580.9,12364.5,1.0_2014
Newfoundland and Labrador,1.0,2015,4978.3,8900.0,1.0_2015
Newfoundland and Labrador,1.0,2016,4627.5,9238.2,1.0_2016
Newfoundland and Labrador,1.0,2017,4903.9,11425.3,1.0_2017
Newfoundland and Labrador,1.0,2018,4377.4,15227.2,1.0_2018
Newfoundland and Labrador,1.0,2019,4288.7,16402.7,1.0_2019
Newfoundland and Labrador,1.0,2020,2721.5,12519.3,1.0_2020
Prince Edward Island,2.0,2007,1133.0,1072.4,2.0_2007
Prince Edward Island,2.0,2008,1165.0,1095.5,2.0_2008
Prince Edward Island,2.0,2009,1247.5,988.2,2.0_2009
Prince Edward Island,2.0,2010,1326.9,929.4,2.0_2010
Prince Edward Island,2.0,2011,1393.4,989.3,2.0_2011
Prince Edward Island,2.0,2012,1495.0,925.4,2.0_2012
Prince Edward Island,2.0,2013,1612.6,1000.1,2.0_2013
Prince Edward Island,2.0,2014,1555.2,1161.0,2.0_2014
Prince Edward Island,2.0,2015,1623.1,1354.0,2.0_2015
Prince Edward Island,2.0,2016,1666.4,1399.4,2.0_2016
Prince Edward Island,2.0,2017,1789.1,1463.2,2.0_2017
Prince Edward Island,2.0,2018,1779.7,1542.1,2.0_2018
Prince Edward Island,2.0,2019,1827.9,1625.4,2.0_2019
Prince Edward Island,2.0,2020,1658.9,1573.0,2.0_2020
Nova Scotia,3.0,2007,7612.0,6986.5,3.0_2007
Nova Scotia,3.0,2008,8139.0,7490.9,3.0_2008
Nova Scotia,3.0,2009,7342.1,5890.0,3.0_2009
Nova Scotia,3.0,2010,7648.9,6374.6,3.0_2010
Nova Scotia,3.0,2011,8142.2,6750.5,3.0_2011
Nova Scotia,3.0,2012,8042.6,6651.8,3.0_2012
Nova Scotia,3.0,2013,8508.3,6243.7,3.0_2013
Nova Scotia,3.0,2014,7784.6,6083.1,3.0_2014
Nova Scotia,3.0,2015,7796.6,6486.3,3.0_2015
Nova Scotia,3.0,2016,7690.7,6555.0,3.0_2016
Nova Scotia,3.0,2017,8056.1,6870.6,3.0_2017
Nova Scotia,3.0,2018,8132.1,7318.1,3.0_2018
Nova Scotia,3.0,2019,8295.3,8326.5,3.0_2019
Nova Scotia,3.0,2020,7524.4,7086.7,3.0_2020
New Brunswick,4.0,2007,9869.0,12038.6,4.0_2007
New Brunswick,4.0,2008,10155.0,13831.6,4.0_2008
New Brunswick,4.0,2009,9515.7,10755.2,4.0_2009
New Brunswick,4.0,2010,10479.5,12210.5,4.0_2010
New Brunswick,4.0,2011,12082.3,13503.7,4.0_2011
New Brunswick,4.0,2012,11244.9,14262.9,4.0_2012
New Brunswick,4.0,2013,11652.9,15009.3,4.0_2013
New Brunswick,4.0,2014,10716.1,14122.3,4.0_2014
New Brunswick,4.0,2015,10936.1,12600.5,4.0_2015
New Brunswick,4.0,2016,11205.2,11599.7,4.0_2016
New Brunswick,4.0,2017,11824.6,13283.4,4.0_2017
New Brunswick,4.0,2018,12153.6,13050.1,4.0_2018
New Brunswick,4.0,2019,12259.2,13419.2,4.0_2019
New Brunswick,4.0,2020,11129.8,10265.0,4.0_2020
Quebec,5.0,2007,60234.0,88042.2,5.0_2007
Quebec,5.0,2008,61379.0,90196.4,5.0_2008
Quebec,5.0,2009,61685.4,76536.5,5.0_2009
Quebec,5.0,2010,65236.7,77421.2,5.0_2010
Quebec,5.0,2011,68260.8,83231.9,5.0_2011
Quebec,5.0,2012,68861.0,85053.6,5.0_2012
Quebec,5.0,2013,68945.9,88959.0,5.0_2013
Quebec,5.0,2014,67946.9,99373.4,5.0_2014
Quebec,5.0,2015,69602.6,105002.8,5.0_2015
Quebec,5.0,2016,71750.3,105776.2,5.0_2016
Quebec,5.0,2017,74018.6,112194.3,5.0_2017
